cell_type_1,cell_type_2,total_strength,edge_count,mean_strength
B1,M3,255.37142857142803,401,0.6368364802280001
M1,M3,242.53333333333273,378,0.6416225749559067
B3,M3,224.659588014184,348,0.6455735287763908
M3,T4,218.58095238095206,346,0.631736856592347
B1,T2,215.31781181492286,323,0.6666186124301018
M0,M3,213.91908087902684,336,0.6366639311875799
B1,T4,198.46428571428544,303,0.6549976426214041
M0,T4,169.33475970760514,255,0.6640578812062947
B1,B3,158.89536955002765,246,0.6459161363822262
M3,M4,156.10238095238066,254,0.6145763029621286
B1,M1,155.74556211565024,248,0.6280062988534284
B1,T1,150.89523809523786,233,0.6476190476190467
B3,M1,144.92593731771308,230,0.6301127709465786
B3,T2,140.273521862055,215,0.652434985404907
B1,B5,139.2469449595774,218,0.6387474539430156
B1,B2,139.10272470391772,212,0.6561449278486685
T1,T2,134.82619047619036,197,0.6843969059705095
B1,M0,134.35557182154457,209,0.6428496259404046
M0,T5,124.981844841174,192,0.6509471085477813
B1,T5,124.7751974495293,192,0.6498708200496318
T2,T5,117.61666666666653,176,0.6682765151515144
M3,T3,112.53333333333319,174,0.6467432950191563
M1,T2,110.53809523809511,177,0.6245090126446051
M1,M4,110.42619047619037,176,0.6274215367965362
M3,T2,108.46190476190465,170,0.638011204481792
B5,M3,107.29662312155234,171,0.6274656322897798
B1,T3,101.06904761904752,157,0.6437518956627231
B1,M4,99.2847477273624,160,0.620529673296015
B2,M3,98.4186478723234,149,0.6605278380692846
B1,M5,97.04099444873565,156,0.6220576567226644
M3,T5,94.2142857142857,151,0.6239356669820245
M0,M5,94.10560919893089,146,0.644558967115965
T2,T4,92.02380952380948,144,0.6390542328042325
B2,M0,88.29653508375519,131,0.6740193517843908
M3,M5,84.81666666666669,135,0.6282716049382718
B1,B4,84.68267114726136,134,0.631960232442249
B3,M4,83.20355508434992,134,0.620922052868283
B3,T4,82.94832691804021,131,0.6331933352522153
M1,T4,79.4595238095238,125,0.6356761904761904
M4,T4,78.6857142857143,128,0.614732142857143
T2,T3,78.41666666666663,120,0.6534722222222219
B2,T2,78.12019753994399,114,0.6852648907012631
M0,T2,75.37056215689213,118,0.6387335776007808
M1,T1,72.54285714285714,114,0.6363408521303259
M0,M1,69.2330109256262,113,0.6126815126161611
B5,T4,69.03668998785228,108,0.6392286109986323
M5,T4,68.4404761904762,107,0.6396306186025813
B3,B5,66.95829729119865,107,0.6257784793569967
B3,T5,65.7780176430559,102,0.6448825259123128
B3,T1,65.03849317857212,101,0.6439454770155656
M3,T1,64.66190476190478,105,0.6158276643990931
B3,T3,64.51944636571976,103,0.6264023919001919
B5,T1,63.97380952380955,103,0.6211049468331025
T1,T5,63.64523809523814,98,0.6494412050534504
B2,T4,61.69722405333012,93,0.6634110113261303
M3,O10,60.25952380952385,96,0.6277033730158734
B5,M1,60.06453106044729,97,0.6192219696953328
T1,T4,58.19285714285716,93,0.6257296466973888
M1,T5,58.06190476190478,93,0.6243215565796213
T4,T5,57.22380952380954,91,0.6288330716902147
M0,M4,56.226394263930274,91,0.6178724644387942
M1,T3,55.7809523809524,88,0.633874458874459
B3,M0,55.4277343986754,88,0.6298606181667659
B2,B5,53.053626273944495,78,0.6801746958198012
B0,B1,52.37837787408317,81,0.6466466404207799
T3,T4,52.15,81,0.6438271604938272
M4,T2,50.82380952380954,82,0.619802555168409
B2,M1,50.778797721777565,82,0.6192536307533849
B4,T4,50.21269190733674,82,0.6123499013089846
B5,M0,49.84717823715149,79,0.6309769397107784
B5,T2,48.86639944605734,75,0.6515519926140979
B4,M3,48.36238055878897,78,0.620030519984474
B5,T3,47.65841555750155,73,0.6528550076370075
B5,T5,43.78310288261073,68,0.643869160038393
M4,T1,43.52619047619049,69,0.6308143547273984
M1,M5,43.28571428571429,68,0.6365546218487396
B1,O7,42.87952045364161,66,0.6496897038430547
B2,T1,42.662858378909576,64,0.6666071621704621
